北京乐多港万豪酒店,204
北京兴基铂尔曼饭店,241
北京亦庄智选假日酒店,149
北京首都机场东海康得思酒店 - 朗廷酒店集团全新品牌,170
北京古北口长城团园客栈,91
北京临空皇冠假日酒店,283
